ID,NAME,ADDRESS,PHONE,ADULT_PSC,CHILD_PSC,UP_DATE
61,桃園市大溪區衛生所,桃園市大溪區仁愛路１號,(03)3882401,1637,1194,2020-10-22
62,桃園市楊梅區衛生所,桃園市楊梅區校前路４０９號,(03)4750151,2313,679,2020-10-22
63,桃園市大園區衛生所,桃園市大園區田心里中正西路１９號,(03)3862024,3744,454,2020-10-22
64,桃園市八德區衛生所,桃園市八德區大華里介壽路二段３６１巷２８號,(03)3662781,2064,1169,2020-10-22
65,桃園市龍潭區衛生所,桃園市龍潭區中正路２１０號１至２樓,(03)4792033,2715,859,2020-10-22
66,桃園市平鎮區衛生所,桃園市平鎮區新富里１鄰振興路１號,(03)4576624,1179,930,2020-10-22
67,桃園市新屋區衛生所,桃園市新屋區新屋里中山路２３９號,(03)4772018,2395,1027,2020-10-22
68,桃園市觀音區衛生所,桃園市觀音區觀新路５８號,(03)4732031,3144,1285,2020-10-22
69,桃園市復興區衛生所,桃園市復興區澤仁里中正路２５號,(03)3822325,2178,50,2020-10-22
3452,家佳藥局,桃園市桃園區瑞慶里莊一街８０號,(03)3175618,4710,589,2020-10-22
3453,均康藥局,桃園市桃園區中聖里國鼎一街２７號１樓之４,(03)2170172,3186,150,2020-10-22
3454,新華興清溪藥局,桃園市桃園區東門里中山東路１０號１樓,(03)3330011,3004,30,2020-10-22
3455,宏偉藥師藥局,桃園市桃園區上海路５５號,(03)3698551,4816,300,2020-10-22
3456,世興藥局,桃園市桃園區桃鶯路４５２號２樓,(03)3635470,252,160,2020-10-22
3457,維美藥局,桃園市桃園區成功路二段８７號１樓,(03)3359033,1209,499,2020-10-22
3458,泓德藥局,桃園市桃園區中正路１０８９號之１,(03)3169816,2040,1108,2020-10-22
3459,大愛藥師藥局,桃園市桃園區中正路４３５號,(03)3376771,2558,373,2020-10-22
3460,幸運草健保藥局,桃園市桃園區縣府路２８０號,(03)3379977,3747,170,2020-10-22
3461,維格藥局,桃園市桃園區大興西路二段１２９號,(03)3016639,1008,109,2020-10-22
3462,大興藥局,桃園市桃園區大德一街９６號,(03)3266868,4543,920,2020-10-22
3463,新生藥局,桃園市桃園區新民街４號１樓,(03)3354011,1395,940,2020-10-22
3464,家福聯合藥局,桃園市桃園區中山路６２３號,(03)2289492,4158,1142,2020-10-22
3465,文安藥局,桃園市桃園區中正路６９９號,(03)3558999,2325,107,2020-10-22
3466,必安藥局,桃園市桃園區永樂街６４號,(03)3324010,2799,860,2020-10-22
3467,三芳藥局,桃園市桃園區民族路２３２號,(03)3390986,3080,1177,2020-10-22
3468,郁祥藥局,桃園市桃園區成功里春日路２１６號,(03)3335495,4483,698,2020-10-22
3469,明光藥局,桃園市桃園區中山東路１１７之１號,(03)3380427,3582,300,2020-10-22
3470,正安藥局,桃園市桃園區東山里安東街５８號,(03)3329461,2609,690,2020-10-22
3471,中山藥局,桃園市桃園區玉山里復興路３６９號,(03)3346614,3375,310,2020-10-22
3472,永祥大藥局,桃園市桃園區永安路５２８號,(03)3337161,999,930,2020-10-22
3473,健安藥局,桃園市桃園區北門里民生路２９５號,(03)3344624,3978,830,2020-10-22
3474,長鴻藥師藥局,桃園市桃園區中興里永安路２７７之５號,(03)3324728,3546,196,2020-10-22
3475,聖昌藥師藥局,桃園市桃園區莊敬里中正路１２３８號１樓,(03)3266654,4851,922,2020-10-22
3476,吉生藥局,桃園市桃園區延平路３２號,(03)3626220,4743,20,2020-10-22
3477,悅藥坊人文藥局,桃園市桃園區桃智路６號,(03)3761688,2970,1390,2020-10-22
3478,迦南藥局,桃園市桃園區國聖一街６１號１樓之１,(03)3609938,0,540,2020-10-22
3479,美德藥師藥局,桃園市桃園區中正路２３０號,(03)3354160,1008,140,2020-10-22
3480,益兒康藥局,桃園市桃園區國際路二段４０號,(03)3798851,2684,843,2020-10-22
3481,桃園大興藥局,桃園市桃園區大興西路二段７６巷３號,(03)3013222,2653,270,2020-10-22
3482,天濟堂藥局,桃園市桃園區桃鶯路３８８之８號,(03)3614983,3062,593,2020-10-22
3483,中平啄木鳥藥局,桃園市桃園區中平路１３６號,(03)2207457,4071,690,2020-10-22
3484,南門藥局,桃園市桃園區南華街５３號,(03)3335395,3105,480,2020-10-22
3485,熊寶寶藥局,桃園市桃園區延平路１１１號,(03)3636915,378,20,2020-10-22
3486,永明藥師藥局,桃園市桃園區永安路２６４號,(03)3343606,1421,1199,2020-10-22
3487,仁悅藥局,桃園市桃園區中山路６８號,(03)3361718,2286,360,2020-10-22
3488,桃康藥局,桃園市桃園區桃鶯路２０３號,(03)3641815,3483,1110,2020-10-22
3489,北桃藥師藥局,桃園市桃園區中正路３５２號,(03)3366816,1872,30,2020-10-22
3490,龍城藥局,桃園市桃園區龍壽里龍城五街６０號,(03)2170662,4415,647,2020-10-22
3491,合新藥局,桃園市桃園區自強路８９號１樓,(03)3325290,1620,79,2020-10-22
3492,大象健保藥局,桃園市桃園區龍安街１２７號,(03)3797028,1458,900,2020-10-22
3493,躍獅省桃藥局,桃園市桃園區龍壽街２４號,(03)3791488,1744,1178,2020-10-22
3494,合豐藥局,桃園市桃園區中山東路８２號,(03)3394007,2646,808,2020-10-22
3495,妮妮藥局,桃園市桃園區天祥三街３８號,(03)3585982,3275,860,2020-10-22
3496,芳鄰藥局,桃園市桃園區昆明路３９號,(03)3679498,2277,624,2020-10-22
3497,桃園中正藥局,桃園市桃園區中正路３７３號,(03)3381600,4117,0,2020-10-22
3498,欣立藥局,桃園市桃園區龍安街１８１－１號１樓,(03)3792001,3012,0,2020-10-22
3499,和康藥局,桃園市桃園區三民路三段５６９號１樓,(03)3672399,5346,564,2020-10-22
3500,乙川藥局,桃園市桃園區中正路５７６號,(03)3368758,36,662,2020-10-22
3501,杏昌藥局,桃園市桃園區同安里中正路１１００號１樓,(03)3573268,36,0,2020-10-22
3502,新華興藥局,桃園市桃園區中正路６６５號,(03)3267777,2574,530,2020-10-22
3503,桃元松藥局,桃園市桃園區建華三街４２號,(03)3611066,2743,230,2020-10-22
3504,金安藥局,桃園市桃園區南華街１４８號,(03)3398088,3814,929,2020-10-22
3505,桃園春日藥局,桃園市桃園區春日路８７８號,(03)3580101,3413,470,2020-10-22
3506,星欣藥局,桃園市桃園區國鼎一街１７號１樓,(03)3700552,1053,790,2020-10-22
3507,桃園民光藥局,桃園市桃園區中正路５６９號,(03)3364888,43,689,2020-10-22
3508,桃園寶山藥局,桃園市桃園區寶山街７２號,(03)3250562,5345,204,2020-10-22
3509,桃園中山藥局,桃園市桃園區中山路７０７號,(03)2207168,3630,9,2020-10-22
3510,大滝藥局,桃園市桃園區龍壽街７４－２號,(03)3607258,4698,290,2020-10-22
